SupplierID,SupplierEmail,SupplierName,SupplierContact,OrderHistory
1,abcd@mail.com,Cisco,123-456-7890,"Order successfully delivered"
2,abhp@mail.com,HP,198-076-2345,"Order successfully delivered"
3,Negar@mail.com,Netgar,925-647-6541,"Order successfully delivered"
4,brcom@mail.com,Broadcom,175-973-1673,"Order not  yet delivered"
5,blee@mail.com,BELL,125-647-6893,"Order successfully delivered"
6,cdcom@mail.com,Cardcom,131-473-2575,"Order successfully delivered"
7,synerg@mail.com,Synergy,786-543-4960,"Order not yet delivered"
8,info@fibertech.com,"FiberTech Inc.",987-542-9902,"Order successfully delivered"
9,sales@optifiber.com,"OptiFiber Co.",894-420-0472,"Order successfully delivered but took more tme"
10,contact@nexgen.com,NexGen,569-024-4343,"Order successfully delivered"
11,sales@huawei.com,Huawei,776-433-4977,"Order not yet delivered"
12,sales@juniper.net,"Juniper Networks",892-032-3094,"order delivered successfully"
13,support@tp-link.com,TP-Link,902-232-3094,"order Not yet Delivered"
